Nomenclator de Galicia. Ano 2017,,,,,,,,,,
Recuperados 48 rexistros,,,,,,,,,,
,,,,,,,,,,
PRO,CON,EC,ES,NUC,PROVINCIA,CONCELLO,NOME,TOTAL,HOMES,MULLERES
36,24,1,0,0,PONTEVEDRA,LALÍN,ALBARELLOS (SANTA MARÍA),46,27,19
36,24,2,0,0,PONTEVEDRA,LALÍN,ALEMPARTE (SANTA MARÍA),23,14,9
36,24,3,0,0,PONTEVEDRA,LALÍN,ANSEÁN (SANTIAGO),40,20,20
36,24,4,0,0,PONTEVEDRA,LALÍN,ANZO (SAN XOÁN),158,75,83
36,24,5,0,0,PONTEVEDRA,LALÍN,BARCIA (SANTO ESTEVO),208,98,110
36,24,6,0,0,PONTEVEDRA,LALÍN,BENDOIRO (SAN MIGUEL),258,118,140
36,24,7,0,0,PONTEVEDRA,LALÍN,BERMÉS (SANTA MARÍA),204,105,99
36,24,8,0,0,PONTEVEDRA,LALÍN,BOTOS (SAN XOÁN),524,257,267
36,24,9,0,0,PONTEVEDRA,LALÍN,BUSTO (SAN FACUNDO),58,28,30
36,24,10,0,0,PONTEVEDRA,LALÍN,CADRÓN (SANTO ESTEVO),120,54,66
36,24,11,0,0,PONTEVEDRA,LALÍN,CAMPOSANCOS (SAN CRISTOVO),77,36,41
36,24,12,0,0,PONTEVEDRA,LALÍN,CANGAS (SANTA MARIÑA),77,41,36
36,24,13,0,0,PONTEVEDRA,LALÍN,CASTRO DE CABRAS (SAN PEDRO),95,50,45
36,24,14,0,0,PONTEVEDRA,LALÍN,CATASÓS (SANTIAGO),388,173,215
36,24,15,0,0,PONTEVEDRA,LALÍN,O CELLO (SAN MARTIÑO),43,21,22
36,24,16,0,0,PONTEVEDRA,LALÍN,CERCIO (SANTIAGO),204,100,104
36,24,17,0,0,PONTEVEDRA,LALÍN,CRISTIMIL (SAN XURXO),163,87,76
36,24,18,0,0,PONTEVEDRA,LALÍN,DOADE (SAN PEDRO),127,62,65
36,24,19,0,0,PONTEVEDRA,LALÍN,DONRAMIRO (SANTA MARÍA),1030,493,537
36,24,20,0,0,PONTEVEDRA,LALÍN,DONSIÓN (SANTA BAIA),215,109,106
36,24,21,0,0,PONTEVEDRA,LALÍN,FILGUEIRA (SANTA MARÍA),384,184,200
36,24,22,0,0,PONTEVEDRA,LALÍN,GALEGOS (SAN MIGUEL),96,47,49
36,24,23,0,0,PONTEVEDRA,LALÍN,A XESTA (SAN FIZ),224,107,117
36,24,24,0,0,PONTEVEDRA,LALÍN,GOIÁS (SAN MIGUEL),606,303,303
36,24,25,0,0,PONTEVEDRA,LALÍN,GRESANDE (SANTIAGO),185,96,89
36,24,26,0,0,PONTEVEDRA,LALÍN,XAXÁN (SANTA MARÍA DA SALETA),178,81,97
36,24,27,0,0,PONTEVEDRA,LALÍN,LALÍN (SANTA MARÍA DAS DORES),10670,5154,5516
36,24,28,0,0,PONTEVEDRA,LALÍN,LEBOZÁN (SANTIAGO),104,55,49
36,24,29,0,0,PONTEVEDRA,LALÍN,LODEIRO (SAN PAIO),52,25,27
36,24,30,0,0,PONTEVEDRA,LALÍN,LOSÓN (SANTA BAIA),263,121,142
36,24,31,0,0,PONTEVEDRA,LALÍN,MACEIRA (SAN MARTIÑO),117,62,55
36,24,32,0,0,PONTEVEDRA,LALÍN,MADRIÑÁN (SANTO ADRAO),126,64,62
36,24,33,0,0,PONTEVEDRA,LALÍN,MÉIXOME (SANTIAGO),113,51,62
36,24,34,0,0,PONTEVEDRA,LALÍN,MONEIXAS (SANTO ADRAO),205,101,104
36,24,35,0,0,PONTEVEDRA,LALÍN,MOIMENTA (SAN LOURENZO),149,76,73
36,24,36,0,0,PONTEVEDRA,LALÍN,NOCEDA (SANTA MARÍA),267,130,137
36,24,37,0,0,PONTEVEDRA,LALÍN,PALMOU (SAN XOÁN),153,80,73
36,24,38,0,0,PONTEVEDRA,LALÍN,PARADA (SANTA MARÍA),70,35,35
36,24,39,0,0,PONTEVEDRA,LALÍN,PRADO (SAN MARTIÑO),222,110,112
36,24,40,0,0,PONTEVEDRA,LALÍN,RODÍS (SAN XIAO),96,49,47
36,24,41,0,0,PONTEVEDRA,LALÍN,SANTISO (SAN ROMÁN),232,117,115
36,24,42,0,0,PONTEVEDRA,LALÍN,SELLO (SANTIAGO),287,146,141
36,24,43,0,0,PONTEVEDRA,LALÍN,SOUTOLONGO (SANTA MARÍA),266,118,148
36,24,44,0,0,PONTEVEDRA,LALÍN,VAL DO CARRIO (SANTO ANDRÉ),52,30,22
36,24,45,0,0,PONTEVEDRA,LALÍN,A VEIGA (SAN RAMÓN),78,40,38
36,24,46,0,0,PONTEVEDRA,LALÍN,VILANOVA (SAN XOÁN),174,88,86
36,24,47,0,0,PONTEVEDRA,LALÍN,VILATUXE (SAN LOURENZO),533,253,280
36,24,48,0,0,PONTEVEDRA,LALÍN,ZOBRA (SANTA MARIÑA),115,60,55
,,,,,,,,,,
Fonte: INE. Padrón municipal de habitantes. Explotación estadística y nomenclátor,,,,,,,,,,
,,,,,,,,,,
(..) Dato non dispoñible,,,,,,,,,,
(-) Non procede,,,,,,,,,,
(X) Segredo estatístico,,,,,,,,,,
